attributes,Alabama,Alaska,American_Samoa,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Department_of_Defense,Diamond_Princess,District_of_Columbia,Federal_Bureau_of_Prisons,Florida,Georgia,Grand_Princess,Guam,Hawaii,Idaho,Illinois,Indian_Health_Services,Indiana,Iowa,Kansas,Kentucky,Long_Term_Care_(LTC)_Program,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New_Hampshire,New_Jersey,New_Mexico,New_York,North_Carolina,North_Dakota,Northern_Mariana_Islands,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto_Rico,Rhode_Island,South_Carolina,South_Dakota,Tennessee,Texas,Utah,Vermont,Veterans_Health_Administration,Virgin_Islands,Virginia,Washington,West_Virginia,Wisconsin,Wyoming,the_US
state_name,Alabama,Alaska,American_Samoa,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Department_of_Defense,Diamond_Princess,District_of_Columbia,Federal_Bureau_of_Prisons,Florida,Georgia,Grand_Princess,Guam,Hawaii,Idaho,Illinois,Indian_Health_Services,Indiana,Iowa,Kansas,Kentucky,Long_Term_Care_(LTC)_Program,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New_Hampshire,New_Jersey,New_Mexico,New_York,North_Carolina,North_Dakota,Northern_Mariana_Islands,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto_Rico,Rhode_Island,South_Carolina,South_Dakota,Tennessee,Texas,Utah,Vermont,Veterans_Health_Administration,Virgin_Islands,Virginia,Washington,West_Virginia,Wisconsin,Wyoming,the_US
state_abbreviation,AL,AK,AS,AZ,AR,CA,CO,CT,DE,,,DC,,FL,GA,,GU,HI,ID,IL,,IN,IA,KS,KY,,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,MP,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VT,,VI,VA,WA,WV,WI,WY,US
date,"(2021, 11, 21)","(2021, 11, 21)","(2021, 11, 21)","(2021, 11, 21)","(2021, 11, 21)","(2021, 11, 21)","(2021, 11, 21)","(2021, 11, 21)","(2021, 11, 21)","(2021, 11, 21)","(2021, 11, 21)","(2021, 11, 21)","(2021, 11, 21)","(2021, 11, 21)","(2021, 11, 21)","(2021, 11, 21)","(2021, 11, 21)","(2021, 11, 21)","(2021, 11, 21)","(2021, 11, 21)","(2021, 11, 21)","(2021, 11, 21)","(2021, 11, 21)","(2021, 11, 21)","(2021, 11, 21)","(2021, 11, 21)","(2021, 11, 21)","(2021, 11, 21)","(2021, 11, 21)","(2021, 11, 21)","(2021, 11, 21)","(2021, 11, 21)","(2021, 11, 21)","(2021, 11, 21)","(2021, 11, 21)","(2021, 11, 21)","(2021, 11, 21)","(2021, 11, 21)","(2021, 11, 21)","(2021, 11, 21)","(2021, 11, 21)","(2021, 11, 21)","(2021, 11, 21)","(2021, 11, 21)","(2021, 11, 21)","(2021, 11, 21)","(2021, 11, 21)","(2021, 11, 21)","(2021, 11, 21)","(2021, 11, 21)","(2021, 11, 21)","(2021, 11, 21)","(2021, 11, 21)","(2021, 11, 21)","(2021, 11, 21)","(2021, 11, 21)","(2021, 11, 21)","(2021, 11, 21)","(2021, 11, 21)","(2021, 11, 21)","(2021, 11, 21)","(2021, 11, 21)","(2021, 11, 21)","(2021, 11, 21)"
confirmed,842908.0,148083.0,4.0,1241878.0,524170.0,5047921.0,804734.0,412918.0,150385.0,,49.0,66028.0,,3721503.0,1654649.0,103.0,19069.0,86847.0,303296.0,1763866.0,,1069450.0,513637.0,456624.0,769732.0,,767330.0,115863.0,578019.0,890733.0,1408419.0,871203.0,510748.0,896793.0,188013.0,302567.0,452173.0,150813.0,1231968.0,301937.0,2674200.0,1514879.0,158486.0,395.0,1642867.0,658600.0,384062.0,1686169.0,187863.0,186387.0,911624.0,162375.0,1303830.0,4307087.0,582929.0,47376.0,,7439.0,953460.0,762118.0,288967.0,945715.0,109318.0,47740579.0
deaths,16073.0,862.0,0.0,21940.0,8615.0,73731.0,8878.0,8850.0,2159.0,,0.0,1196.0,,61081.0,30162.0,3.0,262.0,1002.0,3846.0,28660.0,,17247.0,7268.0,6636.0,10606.0,,14749.0,1272.0,11121.0,19268.0,24841.0,9279.0,10229.0,13004.0,2547.0,3108.0,7917.0,1662.0,28254.0,5263.0,57190.0,18597.0,1889.0,3.0,26858.0,11772.0,4914.0,32924.0,3262.0,2906.0,14096.0,2305.0,16820.0,73378.0,3428.0,404.0,,85.0,14492.0,9110.0,4726.0,9816.0,1347.0,771913.0
incident_rate,17191.02991218973,20242.50046135234,7.188943405043044,17061.770638973874,17369.252608850675,12775.593516973217,13974.14293692227,11581.620217390631,15443.680398946768,,,9355.73412077098,,17327.258453718845,15584.280667728885,,11611.225788380858,6133.817181214121,16971.738576940403,13919.5937190085,,15885.549771925123,16279.733888630046,15673.696690435703,17228.924319214948,,16506.001341423173,8619.399320940447,9560.859985973457,12923.21526737094,14102.725211745796,15447.869648232368,17161.371960879645,14611.869988535916,17591.398775049634,15641.322823313383,14680.198015944648,11091.54813044831,13870.09284872312,14399.69592179429,13746.5834661325,14443.810709372656,20796.99552004955,716.3063977948643,14054.691977996596,16644.04414386661,9105.878341869113,13171.148639480944,5882.31057828333,17594.285611798055,17705.858200707982,18354.52982448605,19092.06003537177,14854.133937161629,18182.67737755766,7592.441533424468,,6934.9666256479095,11170.498243867773,10008.25618954856,16124.067947551175,16242.605755599803,18888.345580803063,779132.39869172
total_test_results,6222859.0,3472086.0,2140.0,14329539.0,4193730.0,108374406.0,12795976.0,10967117.0,2482312.0,,,2304153.0,,43247864.0,12859762.0,,258075.0,2658958.0,1043045.0,37895788.0,,15111916.0,1751420.0,1886827.0,7617973.0,,10145140.0,3084655.0,14781411.0,32701639.0,18329235.0,12684764.0,2630658.0,7739763.0,2158198.0,4103720.0,4734678.0,2806733.0,16192382.0,5170908.0,79206076.0,17468457.0,1935470.0,17542.0,17828949.0,4653199.0,7918688.0,19495681.0,3078307.0,5933265.0,9910905.0,1047748.0,10596909.0,36341220.0,4681076.0,2495305.0,,218012.0,10295055.0,9958651.0,4516966.0,12076549.0,1127700.0,687541560.0
people_hospitalized,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
case_fatality_ratio,1.9068510442420763,0.582105981105191,0.0,1.7666791746049129,1.6435507564339813,1.4606211151085764,1.103221685675018,2.143282685666404,1.435648502177744,,0.0,1.811352759435391,,1.6412992277582472,1.822863942745561,2.912621359223301,1.37395773244533,1.1537531520950637,1.2680681578392066,1.6248399821755168,,1.6126981158539435,1.415007096451385,1.4532744665194997,1.37788217197674,,1.9221195574264007,1.0978483208617074,1.923985197718414,2.163162249518093,1.7637507020283028,1.0650789770007678,2.0027489094426216,1.4500559214891284,1.3546935584241515,1.0272105021367168,1.750878535427812,1.102027013586362,2.293403724772072,1.743078854198061,2.138583501607957,1.2276228002368506,1.191903385788019,0.759493670886076,1.6348249736588536,1.7874278773155177,1.279480917143586,1.9525919406654968,1.7363717176878897,1.559121612558816,1.5462515247514326,1.4195535026943802,1.2900454813894449,1.703657251409131,0.5880647557421229,0.8527524484971294,,1.1426266971367118,1.5199379103475763,1.1953529505929528,1.6354808680575983,1.0379448353890972,1.232185001555096,84.6008967586754
